"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"online","strict","environment_empty_unset","startup_to_ready_ns",8,8,22368490.5,22968869.875,600379.375,-56149,1141912.75,1.0268404063743148,0.9975763319571848,1.0518877439878058
"online","strict","environment_empty_unset","tool_call_ns",8,8,80957072.875,73399262.75,-7557810.125,-30660049.25,10663563.125,0.9066442269143121,0.7200663481095032,1.162887516498211
"online","strict","environment_path_login","codex_total_ns",8,8,30059069722.125,29744430008.75,-314639713.375,-1442345689.375,853199487.125,0.9895326197289662,0.9528463169178569,1.0288527438435078
"online","strict","environment_path_login","startup_to_ready_ns",8,8,22139503.625,24085186.625,1945683,503389.25,3350368.875,1.0878828646276844,1.021780892640303,1.1597527537609864
"online","strict","environment_path_login","tool_call_ns",8,8,95023222.75,94555912,-467310.75,-30075619.875,31958808.25,0.9950821416441593,0.7056711192339017,1.3711804821465037
"online","strict","exec_missing_permission","codex_total_ns",8,8,28705665782.625,28877114675.875,171448893.25,-2225059244.875,3510596844.75,1.0059726499482124,0.9275428129716755,1.136401770304083
"online","strict","exec_missing_permission","startup_to_ready_ns",8,0,,,,,,,,
"online","strict","exec_missing_permission","tool_call_ns",8,8,96512953.625,105105309.75,8592356.125,2119463.125,16652918.75,1.0890280092181772,1.0220181086511668,1.1699254819620055
"online","strict","exit_code_vs_signal","codex_total_ns",8,8,52398891270.5,30782990158.75,-21615901111.75,-54502732644.25,2261027256,0.5874740745913547,0.3543040368066179,1.075480290533399
"online","strict","exit_code_vs_signal","startup_to_ready_ns",8,8,44676457.75,44652815.875,-23641.875,-1542862,1780025.75,0.9994708202890146,0.9661384513239768,1.0409218656012094
"online","strict","exit_code_vs_signal","tool_call_ns",8,8,139082275,114579807.125,-24502467.875,-52521242.875,-1217288,0.8238275303233284,0.6735872827971618,0.9902685917252871
"online","strict","exit_nonzero","codex_total_ns",8,8,29328762410.25,29823582122.5,494819712.25,-1058997020,2044305928.5,1.0168714828579697,0.9647950370633688,1.071582235456142
"online","strict","exit_nonzero","startup_to_ready_ns",8,8,21802670.75,22699110.375,896439.625,-120794,2052635.125,1.0411160465283824,0.9946060832648542,1.0976764818475708
"online","strict","exit_nonzero","tool_call_ns",8,8,85253305.125,108463240.75,23209935.625,-9697382.5,60378916.25,1.2722467544333813,0.9060620461964459,1.8765580351784776
"online","strict","output_interleaved","codex_total_ns",8,8,40300670899,29133109668.625,-11167561230.375,-32682130813.375,167438057.375,0.7228939126506674,0.46477727863756624,1.005641267573945
"online","strict","output_interleaved","startup_to_ready_ns",8,8,22601076.125,23576009.5,974933.375,6082.375,1994844.5,1.0431365909131018,1.0002664951000286,1.0909756948910203
"online","strict","output_interleaved","tool_call_ns",8,8,156018671.25,141701074.625,-14317596.625,-45370268.625,7272474.625,0.9082315179953181,0.7507569018154434,1.0524786078071942
