pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0030","shell","native-noop","full","formal","success","395137","22913700626242","22913700928300"
"formal-full-native-noop-0030","transparent","native-noop","full","formal","success","947624","22913707317707","22913708166031"
"formal-full-native-noop-0031","shell","native-noop","full","formal","success","448043","22913722461118","22913722789294"
"formal-full-native-noop-0031","transparent","native-noop","full","formal","success","1075205","22913715066784","22913715906521"
"formal-full-native-noop-0032","shell","native-noop","full","formal","success","411915","22913744453879","22913744749105"
"formal-full-native-noop-0032","transparent","native-noop","full","formal","success","977361","22913751176511","22913752020981"
"formal-full-native-noop-0033","shell","native-noop","full","formal","success","415522","22913766051259","22913766343819"
"formal-full-native-noop-0033","transparent","native-noop","full","formal","success","966098","22913758666409","22913759509324"
"formal-full-native-noop-0034","shell","native-noop","full","formal","success","417331","22913788392347","22913788692771"
"formal-full-native-noop-0034","transparent","native-noop","full","formal","success","1033051","22913795152355","22913796064510"
"formal-full-native-noop-0035","shell","native-noop","full","formal","success","455311","22913818462922","22913818788543"
"formal-full-native-noop-0035","transparent","native-noop","full","formal","success","1264109","22913810529196","22913811611386"
"formal-full-native-noop-0036","shell","native-noop","full","formal","success","469218","22913841130714","22913841423624"
"formal-full-native-noop-0036","transparent","native-noop","full","formal","success","1112902","22913891144987","22913892127659"
"formal-full-native-noop-0037","shell","native-noop","full","formal","success","459208","22913907315540","22913907631613"
"formal-full-native-noop-0037","transparent","native-noop","full","formal","success","945361","22913899686961","22913900499081"
"formal-full-native-noop-0038","shell","native-noop","full","formal","success","463543","22913929993407","22913930326550"
"formal-full-native-noop-0038","transparent","native-noop","full","formal","success","950804","22913936779510","22913937631097"
"formal-full-native-noop-0039","shell","native-noop","full","formal","success","425272","22913951759404","22913952064112"
"formal-full-native-noop-0039","transparent","native-noop","full","formal","success","998191","22913944178903","22913945052937"
"formal-full-native-noop-0040","shell","native-noop","full","formal","success","416384","22913973989387","22913974250876"
"formal-full-native-noop-0040","transparent","native-noop","full","formal","success","951355","22913980275278","22913981134222"
